dataset,metric,method,dimensions,points computed,total points,coverage,mean out degree,median out degree,median in degree,min out degree,max out degree,min in degree,max in degree
fashion_mnist,euclidean,set-cover,784,41543,60000,100.0,10.03,9.0,3.0,1,77,1,492
glove25,euclidean,robust-prune,25,1183514,1183514,95.0,4.23,4.0,4.0,1,44,1,49
glove25,euclidean,robust-prune,25,1183514,1183514,95.5,4.36,4.0,4.0,1,44,1,50
glove25,euclidean,robust-prune,25,1183514,1183514,96.0,4.51,4.0,4.0,1,44,1,52
glove25,euclidean,robust-prune,25,1183514,1183514,96.5,4.69,4.0,4.0,1,44,1,52
glove25,euclidean,robust-prune,25,1183514,1183514,97.0,4.91,4.0,4.0,1,50,1,52
glove25,euclidean,robust-prune,25,1183514,1183514,97.5,5.18,5.0,4.0,1,54,1,53
glove25,euclidean,robust-prune,25,1183514,1183514,98.0,5.52,5.0,5.0,1,59,1,53
glove25,euclidean,robust-prune,25,1183514,1183514,98.5,6.01,5.0,5.0,1,67,1,54
glove25,euclidean,robust-prune,25,1183514,1183514,99.0,6.77,6.0,6.0,1,67,1,57
glove25,euclidean,robust-prune,25,1183514,1183514,99.5,8.29,7.0,7.0,1,71,1,61
glove25,euclidean,robust-prune,25,1183514,1183514,100.0,50.41,50.0,43.0,1,141,1,422
bigann,euclidean,robust-prune,128,3155,1000000000,90.0,5.82,5.0,1.0,2,110,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,90.5,5.92,5.0,1.0,2,110,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,91.0,6.04,6.0,1.0,2,110,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,91.5,6.15,6.0,1.0,2,110,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,92.0,6.28,6.0,1.0,2,110,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,92.5,6.41,6.0,1.0,2,110,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,93.0,6.56,6.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,93.5,6.71,6.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,94.0,6.88,6.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,94.5,7.06,7.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,95.0,7.28,7.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,95.5,7.51,7.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,96.0,7.76,7.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,96.5,8.07,7.0,1.0,2,111,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,97.0,8.4,8.0,1.0,2,112,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,97.5,8.82,8.0,1.0,2,112,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,98.0,9.33,9.0,1.0,2,114,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,98.5,10.01,9.0,1.0,2,114,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,99.0,11.01,10.0,1.0,2,115,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,99.5,12.73,12.0,1.0,3,116,1,1
bigann,euclidean,robust-prune,128,3155,1000000000,100.0,104.87,95.0,1.0,18,647,1,2
yandex_deep,euclidean,robust-prune,96,531,1000000000,90.0,5.77,6.0,1.0,3,11,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,90.5,5.91,6.0,1.0,3,11,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,91.0,6.06,6.0,1.0,3,12,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,91.5,6.19,6.0,1.0,3,12,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,92.0,6.35,6.0,1.0,3,13,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,92.5,6.52,6.0,1.0,3,13,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,93.0,6.72,6.0,1.0,3,13,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,93.5,6.94,7.0,1.0,3,13,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,94.0,7.16,7.0,1.0,3,14,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,94.5,7.44,7.0,1.0,4,14,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,95.0,7.71,7.0,1.0,4,14,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,95.5,8.06,8.0,1.0,4,15,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,96.0,8.45,8.0,1.0,4,15,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,96.5,8.93,9.0,1.0,4,19,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,97.0,9.48,9.0,1.0,4,19,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,97.5,10.15,10.0,1.0,5,22,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,98.0,11.02,11.0,1.0,5,25,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,98.5,12.18,12.0,1.0,5,27,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,99.0,13.9,14.0,1.0,6,31,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,99.5,17.25,17.0,1.0,7,37,1,1
yandex_deep,euclidean,robust-prune,96,531,1000000000,100.0,142.02,136.0,1.0,36,397,1,2
