dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.2,17,10,0.21976,1268710.0,17.0,17.0,195.0,280.0,10000,0,5.394
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.3,22,10,0.30474,1023120.0,22.0,22.0,243.0,351.0,10000,0,5.394
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.4,14,10,0.41134,890472.0,29.0,53.0,309.0,563.0,10000,0,5.394
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.5,26,10,0.50653,601287.0,45.0,82.0,448.0,819.0,10000,0,5.394
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.6,65,10,0.60498,321916.0,92.0,160.0,806.0,1417.0,10000,0,5.394
glove25-25-angular,euclidean,mod-vamana,0.96,1.0,32,64,1399,0.7,375,10,0.70182,71443.4,445.0,619.0,3121.0,4770.0,10000,0,5.394
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.1,12,1,0.1222,1805050.0,12.0,12.0,152.0,214.0,10000,0,4.81
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.2,16,1,0.2198,1340840.0,16.0,16.0,197.0,277.0,10000,0,4.81
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.3,20,1,0.3081,1091230.0,20.0,20.0,238.0,336.0,10000,0,4.81
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.4,11,1,0.4128,1027430.0,26.0,45.0,296.0,541.0,10000,0,4.81
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.5,20,1,0.5002,729554.0,37.0,65.0,404.0,737.0,10000,0,4.81
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.6,60,1,0.6034,355593.0,84.0,146.0,796.0,1370.0,10000,0,4.81
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.7,1000,1,0.7007,28037.8,1135.0,1339.0,7431.0,11059.0,10000,0,4.81
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.1,12,10,0.1135,1652070.0,12.0,12.0,152.0,214.0,10000,0,5.353
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.2,16,10,0.20958,1284360.0,16.0,16.0,197.0,277.0,10000,0,5.353
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.3,21,10,0.30997,1022600.0,21.0,21.0,248.0,350.0,10000,0,5.353
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.4,12,10,0.41258,943841.0,27.0,47.0,308.0,565.0,10000,0,5.353
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.5,22,10,0.5,659718.0,39.0,68.0,423.0,770.0,10000,0,5.353
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.6,55,10,0.60267,364471.0,78.0,135.0,746.0,1293.0,10000,0,5.353
glove25-25-angular,euclidean,mod-vamana,0.97,1.0,32,64,1399,0.7,300,10,0.70064,85693.5,355.0,489.0,2730.0,4177.0,10000,0,5.353
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.1,11,1,0.1103,1826150.0,11.0,11.0,149.0,207.0,10000,0,4.992
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.2,14,1,0.2005,1492980.0,14.0,14.0,186.0,256.0,10000,0,4.992
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.3,18,1,0.3018,1138950.0,18.0,18.0,233.0,321.0,10000,0,4.992
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.4,10,1,0.424,1013990.0,24.0,42.0,300.0,549.0,10000,0,4.992
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.5,17,1,0.5026,749794.0,33.0,59.0,396.0,715.0,10000,0,4.992
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.6,50,1,0.6079,390366.0,71.0,122.0,740.0,1260.0,10000,0,4.992
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.7,750,1,0.7007,35359.2,850.0,1005.0,6226.0,9306.0,10000,0,4.992
glove25-25-angular,euclidean,mod-vamana,0.98,1.0,32,64,1399,0.1,11,10,0.10176,1793720.0,11.0,11.0,149.0,207.0,10000,0,5.345
