dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.85,17,10,0.85669,89758.5,31.0,50.0,208.0,351.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.9,26,10,0.91161,73701.2,41.0,62.0,251.0,413.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.93,32,10,0.93077,65197.1,46.0,70.0,274.0,443.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.95,45,10,0.95603,56636.0,61.0,84.0,336.0,530.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.97,60,10,0.9707,44398.5,78.0,102.0,403.0,626.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.98,90,10,0.98288,35446.8,111.0,138.0,521.0,792.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.99,140,10,0.99,25904.3,165.0,191.0,696.0,1059.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.9,1.0,32,64,1101,0.995,300,10,0.9954,15460.8,341.0,375.0,1198.0,1779.0,10000,0,56.422
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.2,10,1,0.2811,199720.0,10.0,10.0,90.0,145.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.3,11,1,0.346,198969.0,11.0,11.0,98.0,156.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.4,12,1,0.4105,176152.0,12.0,12.0,106.0,167.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.5,14,1,0.524,158869.0,14.0,14.0,119.0,186.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.6,16,1,0.6164,139739.0,16.0,16.0,132.0,204.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.7,19,1,0.7197,122151.0,19.0,19.0,150.0,232.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.75,21,1,0.7686,111651.0,21.0,21.0,161.0,249.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.8,23,1,0.8074,107414.0,23.0,23.0,172.0,264.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.85,13,1,0.8557,111309.0,24.0,41.0,180.0,325.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.9,20,1,0.9127,84670.4,32.0,53.0,219.0,387.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.93,24,1,0.9303,77972.7,36.0,59.0,236.0,414.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.95,32,1,0.9513,70023.6,45.0,67.0,273.0,460.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.97,55,1,0.9718,54628.7,70.0,93.0,373.0,598.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.98,80,1,0.9811,38596.9,98.0,121.0,478.0,740.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.99,160,1,0.99,24808.2,187.0,212.0,763.0,1169.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.995,375,1,0.9956,12701.6,427.0,462.0,1400.0,2084.0,10000,0,60.247
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.2,10,10,0.24489,181209.0,10.0,10.0,90.0,145.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.3,11,10,0.30293,175325.0,11.0,11.0,98.0,156.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.4,13,10,0.41402,151249.0,13.0,13.0,113.0,178.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.5,15,10,0.51015,136694.0,15.0,15.0,126.0,196.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.6,18,10,0.62951,124810.0,18.0,18.0,145.0,223.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.7,22,10,0.73702,110351.0,22.0,22.0,167.0,258.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.75,12,10,0.79461,104460.0,23.0,40.0,175.0,314.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.8,13,10,0.81005,105371.0,24.0,41.0,180.0,325.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.85,17,10,0.85957,87165.7,29.0,49.0,206.0,370.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.9,24,10,0.90382,77448.5,36.0,59.0,236.0,414.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.93,36,10,0.94359,65078.7,50.0,72.0,293.0,486.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.95,45,10,0.95707,52597.8,59.0,82.0,332.0,534.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.97,60,10,0.97098,45061.7,76.0,100.0,396.0,626.0,10000,0,57.171
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.98,80,10,0.98003,39846.2,98.0,121.0,478.0,740.0,10000,0,57.171
