dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered
yandex_deep,euclidean,robust-prune,96,10000,1000000000,138,999999797.9477,1000000000.0,999821338,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,139,999999805.8135,1000000000.0,999821656,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,140,999999815.502,1000000000.0,999828734,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,141,999999822.6436,1000000000.0,999829312,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,142,999999830.4976,1000000000.0,999829541,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,143,999999842.1124,1000000000.0,999829636,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,144,999999847.5701,1000000000.0,999829667,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,145,999999853.9842,1000000000.0,999830206,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,146,999999859.1408,1000000000.0,999831202,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,147,999999867.7742,1000000000.0,999846065,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,148,999999878.044,1000000000.0,999894071,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,149,999999881.9284,1000000000.0,999894074,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,150,999999886.2287,1000000000.0,999894397,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,151,999999891.0584,1000000000.0,999894609,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,152,999999895.0801,1000000000.0,999894614,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,153,999999898.9984,1000000000.0,999896449,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,154,999999902.1306,1000000000.0,999896479,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,155,999999905.3065,1000000000.0,999896495,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,156,999999908.7635,1000000000.0,999896523,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,157,999999912.3053,1000000000.0,999898796,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,158,999999915.2441,1000000000.0,999899122,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,159,999999921.0349,1000000000.0,999931649,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,160,999999923.5952,1000000000.0,999931905,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,161,999999925.6052,1000000000.0,999931908,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,162,999999928.1394,1000000000.0,999932816,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,163,999999930.2086,1000000000.0,999932836,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,164,999999932.6338,1000000000.0,999936696,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,165,999999934.6614,1000000000.0,999936704,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,166,999999942.9393,1000000000.0,999953768,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,167,999999944.8111,1000000000.0,999953844,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,168,999999946.244,1000000000.0,999953850,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,169,999999949.663,1000000000.0,999954168,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,170,999999951.0826,1000000000.0,999954526,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,171,999999952.7527,1000000000.0,999954645,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,172,999999954.1281,1000000000.0,999954664,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,173,999999955.6957,1000000000.0,999955305,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,174,999999957.2518,1000000000.0,999955324,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,175,999999958.4974,1000000000.0,999955445,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,176,999999959.6691,1000000000.0,999955455,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,177,999999961.274,1000000000.0,999955669,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,178,999999962.4188,1000000000.0,999956275,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,179,999999963.6227,1000000000.0,999956291,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,180,999999964.488,1000000000.0,999956370,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,181,999999965.5309,1000000000.0,999956468,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,182,999999966.8466,1000000000.0,999961567,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,183,999999967.7811,1000000000.0,999962808,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,184,999999968.7976,1000000000.0,999962814,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,185,999999970.0243,1000000000.0,999963250,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,186,999999974.3941,1000000000.0,999972692,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,187,999999975.4572,1000000000.0,999973524,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,188,999999976.4859,1000000000.0,999976553,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,189,999999977.1011,1000000000.0,999976568,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,190,999999977.6967,1000000000.0,999976629,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,191,999999978.3455,1000000000.0,999976825,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,192,999999979.4788,1000000000.0,999977475,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,193,999999980.138,1000000000.0,999978065,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,194,999999980.7185,1000000000.0,999978088,1000000000
