edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
218,10000,9954,0.9954,0.9999801403338,0.999980048557163
219,10000,9954,0.9954,0.9999802813708,0.9999801902459313
220,10000,9953,0.9953,0.9999803908567,0.999980298258515
221,10000,9951,0.9951,0.9999805005322,0.9999804045143201
222,10000,9951,0.9951,0.999980615934,0.9999805204843735
223,10000,9951,0.9951,0.9999807255562,0.9999806306463672
224,10000,9950,0.995,0.9999808477148,0.9999807514721608
225,10000,9949,0.9949,0.9999809571976,0.9999808595814654
226,10000,9948,0.9948,0.9999810667371,0.9999809677695014
227,10000,9947,0.9947,0.9999811792793,0.9999810789979893
228,10000,9946,0.9946,0.9999812771185,0.9999811754660165
229,10000,9946,0.9946,0.9999813948407,0.9999812938273678
230,10000,9945,0.9945,0.9999815059371,0.9999814036572147
231,10000,9943,0.9943,0.9999816096349999,0.9999815042089912
232,10000,9943,0.9943,0.9999817109213001,0.9999816060759329
233,10000,9943,0.9943,0.9999818134035,0.9999817091456301
234,10000,9943,0.9943,0.9999819219517,0.9999818183161018
235,10000,9943,0.9943,0.9999820189843001,0.9999819159049582
236,10000,9943,0.9943,0.999982114875,0.9999820123453687
237,10000,9942,0.9942,0.9999822144267,0.9999821106685778
238,10000,9942,0.9942,0.9999823079225,0.9999822047098169
239,10000,9940,0.994,0.9999823995247,0.9999822932844065
240,10000,9940,0.994,0.9999825039932,0.999982398383501
241,10000,9940,0.994,0.9999825937892,0.9999824887215292
242,10000,9940,0.994,0.9999826865110001,0.9999825820030182
243,10000,9940,0.994,0.9999827790318,0.9999826750822938
244,10000,9939,0.9939,0.9999828661126999,0.9999827609545227
245,10000,9938,0.9938,0.9999829582956999,0.9999828519779633
246,10000,9937,0.9937,0.999983047016,0.9999829395350709
247,10000,9937,0.9937,0.9999831447006,0.9999830378389856
248,10000,9936,0.9936,0.9999832309544999,0.9999831229413245
249,10000,9936,0.9936,0.9999833149692,0.9999832074971821
250,10000,9936,0.9936,0.9999834006131999,0.9999832936928341
251,10000,9935,0.9935,0.9999834846868,0.999983376634927
252,10000,9934,0.9934,0.9999835705147999,0.9999834613597745
253,10000,9934,0.9934,0.9999836593135999,0.9999835507485404
254,10000,9933,0.9933,0.9999837383468,0.9999836286588141
255,10000,9933,0.9933,0.9999838166366,0.9999837074766939
256,10000,9930,0.993,0.9999838944034,0.9999837808694865
257,10000,9929,0.9929,0.9999839720369,0.9999838574246148
258,10000,9929,0.9929,0.9999840513610999,0.9999839373160438
259,10000,9928,0.9928,0.9999841278325,0.9999840127241136
260,10000,9927,0.9927,0.9999842066423,0.9999840905029717
261,10000,9927,0.9927,0.9999842939823,0.9999841784852422
262,10000,9926,0.9926,0.9999843682903,0.9999842517532742
263,10000,9925,0.9925,0.9999844691269,0.9999843517651386
264,10000,9925,0.9925,0.9999845436057,0.9999844268067507
265,10000,9923,0.9923,0.9999846144580999,0.9999844950701401
266,10000,9922,0.9922,0.9999846888203,0.9999845684542431
267,10000,9921,0.9921,0.9999847582349,0.9999846368661425
268,10000,9921,0.9921,0.9999848259205001,0.9999847050907167
269,10000,9921,0.9921,0.9999849041411999,0.9999847839342809
270,10000,9918,0.9918,0.9999849771143,0.9999848529081469
271,10000,9918,0.9918,0.9999850465088,0.9999849228763864
272,10000,9917,0.9917,0.9999851159408,0.9999849913691641
273,10000,9916,0.9916,0.9999851869988,0.9999850615155305
274,10000,9916,0.9916,0.9999852534371999,0.9999851285167407
275,10000,9915,0.9915,0.9999853263037,0.9999852005080181
276,10000,9912,0.9912,0.9999853911081,0.9999852614084948
277,10000,9912,0.9912,0.9999854540848,0.9999853249443099
278,10000,9912,0.9912,0.9999855185954,0.9999853900276432
279,10000,9911,0.9911,0.999985585723,0.999985456283927
280,10000,9909,0.9909,0.9999856476258,0.9999855158197598
281,10000,9909,0.9909,0.999985711016,0.9999855797921082
282,10000,9907,0.9907,0.9999857700772999,0.9999856364967195
283,10000,9905,0.9905,0.9999858406488,0.9999857048448259
284,10000,9903,0.9903,0.9999859131267,0.9999857751456125
285,10000,9902,0.9902,0.9999859732447,0.9999858344220359
286,10000,9902,0.9902,0.9999860422864,0.9999859041470409
287,10000,9900,0.99,0.999986102858,0.9999859624828282
288,10000,9899,0.9899,0.9999861630237,0.9999860218443277
289,10000,9897,0.9897,0.9999862229726,0.9999860795924017
290,10000,9896,0.9896,0.9999862800921,0.9999861359055173
291,10000,9896,0.9896,0.9999863356637,0.9999861920611358
292,10000,9894,0.9894,0.9999863929395,0.9999862471593894
293,10000,9893,0.9893,0.9999864522474999,0.9999863057186901
294,10000,9891,0.9891,0.9999865070763,0.9999863583826711
295,10000,9890,0.989,0.9999865682343,0.9999864188415571
296,10000,9889,0.9889,0.9999866239945,0.9999864738542825
297,10000,9889,0.9889,0.9999866793761,0.9999865298575185
298,10000,9889,0.9889,0.9999867377634,0.9999865889001921
299,10000,9887,0.9887,0.999986791803,0.9999866408445434
300,10000,9887,0.9887,0.9999868471793,0.9999866968537474
301,10000,9885,0.9885,0.9999869045724,0.9999867522229641
302,10000,9882,0.9882,0.9999869646733001,0.9999868090197328
303,10000,9879,0.9879,0.9999870162275,0.9999868571996153
304,10000,9877,0.9877,0.9999870711657,0.9999869101606763
305,10000,9876,0.9876,0.9999871248223999,0.999986963165654
306,10000,9875,0.9875,0.9999871738048001,0.9999870114478987
307,10000,9874,0.9874,0.9999872237845,0.9999870607499494
308,10000,9873,0.9873,0.9999872729657,0.9999871092532158
309,10000,9872,0.9872,0.9999873227618999,0.9999871583892829
310,10000,9870,0.987,0.9999873714845,0.9999872051514691
311,10000,9870,0.987,0.9999874215069999,0.9999872558328268
312,10000,9868,0.9868,0.9999874706406,0.9999873030407378
313,10000,9868,0.9868,0.9999875214554,0.9999873545352654
314,10000,9867,0.9867,0.9999875701121,0.9999874025662309
315,10000,9867,0.9867,0.9999876263326,0.9999874595445424
316,10000,9867,0.9867,0.9999876759274,0.9999875098078442
317,10000,9867,0.9867,0.9999877232273,0.9999875577453127
318,10000,9866,0.9866,0.9999877819637001,0.9999876160183458
319,10000,9865,0.9865,0.999987829102,0.999987662546376
320,10000,9864,0.9864,0.9999878765803,0.999987709428528
321,10000,9862,0.9862,0.9999879263250999,0.9999877573769013
322,10000,9862,0.9862,0.9999879694984,0.9999878011543297
323,10000,9861,0.9861,0.9999880150462,0.9999878461070886
