dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.3,14,10,0.33563,191300.0,14.0,14.0,141.0,207.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.4,16,10,0.41636,169655.0,16.0,16.0,160.0,231.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.5,19,10,0.51174,147621.0,19.0,19.0,185.0,266.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.6,11,10,0.6695,132733.0,24.0,43.0,229.0,429.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.7,15,10,0.71652,118342.0,28.0,50.0,258.0,472.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.75,19,10,0.75034,102325.0,33.0,58.0,293.0,534.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.92,1.0,32,64,1164,0.8,40,10,0.80433,73262.2,56.0,92.0,421.0,725.0,10000,0,41.218
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.2,10,1,0.266,281009.0,10.0,10.0,108.0,161.0,10000,0,42.199
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.3,11,1,0.3172,236602.0,11.0,11.0,118.0,174.0,10000,0,42.199
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.4,13,1,0.4138,222539.0,13.0,13.0,138.0,202.0,10000,0,42.199
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.5,16,1,0.5157,185295.0,16.0,16.0,165.0,235.0,10000,0,42.199
coco_i2i-512-angular,euclidean,mod-vamana,0.93,1.0,32,64,1164,0.6,10,1,0.6657,152151.0,21.0,38.0,210.0,394.0,10000,0,42.199
