dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.999,750,1,0.9992,6752.51,840.0,925.0,2601.0,4063.0,10000,0,65.316
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.2,10,10,0.22091,197184.0,10.0,10.0,87.0,139.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.3,13,10,0.35997,159655.0,13.0,13.0,110.0,166.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.4,14,10,0.40181,150274.0,14.0,14.0,117.0,175.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.5,17,10,0.51664,121455.0,17.0,17.0,137.0,200.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.6,21,10,0.63065,110340.0,21.0,21.0,161.0,232.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.7,10,10,0.71357,104667.0,22.0,42.0,172.0,321.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.75,12,10,0.75266,98460.1,24.0,46.0,184.0,342.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.8,16,10,0.81232,97295.2,29.0,53.0,206.0,380.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.85,22,10,0.87207,80501.0,36.0,65.0,242.0,443.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.9,32,10,0.92,68829.3,47.0,83.0,291.0,528.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.93,36,10,0.93321,58533.3,52.0,92.0,315.0,569.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.95,45,10,0.95132,45395.7,62.0,106.0,356.0,627.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.97,65,10,0.97121,40122.1,84.0,136.0,447.0,766.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.98,90,10,0.98313,34229.0,112.0,172.0,550.0,902.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.99,140,10,0.99057,26174.0,167.0,230.0,741.0,1183.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.91,1.0,32,64,1101,0.995,250,10,0.99561,15747.3,289.0,348.0,1124.0,1768.0,10000,0,61.216
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.3,11,1,0.3619,176744.0,11.0,11.0,107.0,166.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.4,12,1,0.4056,165410.0,12.0,12.0,114.0,175.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.5,16,1,0.5637,132850.0,16.0,16.0,142.0,207.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.6,19,1,0.6578,129495.0,19.0,19.0,161.0,232.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.7,21,1,0.7083,108800.0,21.0,21.0,173.0,248.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.75,10,1,0.7885,105273.0,21.0,41.0,180.0,335.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.8,11,1,0.8058,96422.7,22.0,43.0,186.0,340.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.85,15,1,0.8581,100043.0,27.0,50.0,210.0,380.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.9,20,1,0.9027,79212.9,33.0,60.0,242.0,435.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.93,26,1,0.9338,71333.8,40.0,73.0,277.0,494.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.95,32,1,0.9502,61490.8,46.0,81.0,304.0,538.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.97,50,1,0.9763,51467.1,67.0,112.0,396.0,689.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.98,65,1,0.9842,43859.6,83.0,139.0,465.0,793.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.99,100,1,0.991,32326.7,121.0,181.0,608.0,985.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.995,160,1,0.9951,22244.1,187.0,244.0,833.0,1338.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.999,500,1,0.999,9276.76,560.0,625.0,1928.0,3037.0,10000,0,64.559
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.2,10,10,0.26838,174180.0,10.0,10.0,99.0,157.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.3,11,10,0.3132,182266.0,11.0,11.0,107.0,166.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.4,15,10,0.47432,146428.0,15.0,15.0,135.0,199.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.5,16,10,0.50906,129885.0,16.0,16.0,142.0,207.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.6,23,10,0.69304,107292.0,23.0,23.0,185.0,263.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.7,10,10,0.72249,102774.0,21.0,41.0,180.0,335.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.75,13,10,0.77861,95836.8,25.0,47.0,199.0,359.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.8,15,10,0.80506,91180.1,27.0,50.0,210.0,380.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.85,19,10,0.85407,85216.6,32.0,59.0,237.0,430.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.9,32,10,0.92421,64007.4,46.0,81.0,304.0,538.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.93,36,10,0.9367,61728.8,51.0,90.0,327.0,579.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.95,55,10,0.96544,49112.8,71.0,119.0,415.0,719.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.97,60,10,0.97031,46761.5,77.0,128.0,440.0,753.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.98,80,10,0.9811,36536.5,99.0,155.0,524.0,868.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.99,140,10,0.99185,23243.7,165.0,224.0,762.0,1217.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.995,225,10,0.99541,17299.2,259.0,316.0,1065.0,1676.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.999,1000,10,0.99912,5667.73,1107.0,1201.0,3315.0,5171.0,10000,0,59.569
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.3,10,1,0.3778,180080.0,10.0,10.0,92.0,142.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.4,11,1,0.4426,185846.0,11.0,11.0,100.0,152.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.5,12,1,0.5,173145.0,12.0,12.0,107.0,162.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.6,16,1,0.6693,146727.0,16.0,16.0,135.0,197.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.7,18,1,0.7295,127002.0,18.0,18.0,148.0,215.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.75,20,1,0.775,117556.0,20.0,20.0,160.0,231.0,10000,0,63.951
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.8,10,1,0.8303,125953.0,20.0,38.0,165.0,303.0,10000,0,63.951
